1   ;* 61 Cyg B                         ;Er*;082.3171310715589 -05.8262372280102;K7V                    ;    3.4964
2   ;* 61 Cyg A                         ;BY*;082.3197403091576 -05.8181041502094;K5V                    ;    3.4965
3   ;GAT 1383                           ;PM*;085.6450087237446 -07.3769487234860;M5.5V                  ;   14.5094
4   ;BD+40 4631                         ;PM*;089.4905214280362 -08.8259946066449;K8V                    ;   19.837 
5   ;V* EV Lac                          ;Er*;100.6067176270883 -13.0693645782006;M4.0Ve                 ;    5.0515
6   ;G 216-43                           ;PM*;107.6831520259098 -14.9929080409418;M4.5                   ;   35.6304
7   ;BD+45 4378                         ;SB*;113.6133003656408 -15.1866691700906;K7V                    ;   17.1213
8   ;LP 149-14                          ;PM*;114.0239531748840 -14.2146886796646;M5.0V                  ;   19.189 
9   ;HD 38B                             ;PM*;114.6501340218375 -16.3243260935338;M0.5V                  ;   11.518 
10  ;HD 38A                             ;SB*;114.6505214717521 -16.3226459980874;K6V                    ;   11.5207
11  ;BD+44 4548                         ;PM*;114.5559641502924 -16.3315501979801;M2Ve                   ;   11.5035
12  ;PM J00194+4614                     ;LM*;117.1762671559327 -16.2783241068353;M8                     ;   38.845 
13  ;G 172-30                           ;PM*;123.9711775130517 -17.7743808266139;M3.0V                  ;   13.1389
14  ;HD 10307                           ;SB*;132.7153946631206 -19.2998883860968;G1V                    ;   14.7006
15  ;G 134-35                           ;** ;142.61891319 -18.56371039          ;M1.0                   ;   16.4   
16  ;GD 25                              ;WD*;140.1397195765007 -20.1630996726998;DA5.4                  ;   20.326 
17  ;EGGR 261                           ;WD*;079.0634360862862 -03.9881380525064;DA3.4                  ;   17.586 
18  ;BD+40 883                          ;SB*;082.4380288637556 -03.9579690545388;M2.0V+M0.5V            ;   15.0255
19  ;Ross 249                           ;PM*;112.3599948790026 -12.5503481718345;M3V                    ;   16.3246
20  ;EGGR 381                           ;WD*;116.5687359077952 -11.9644708133638;DA7.6                  ;   10.8737
21  ;LP 191-43                          ;PM*;115.8438152153511 -12.9700483599527;M5.5V                  ;   14.7576
22  ;G 172-1                            ;** ;119.2567938209873 -12.3349724385336;M3.7V                  ;   13.4758
23  ;G 173-18                           ;SB*;132.4936005409928 -15.3337707403802;M1.3V                  ;   25.3651
24  ;G 133-48                           ;PM*;134.5089900459075 -17.0068481282730;M6V                    ;   23.935 
25  ;G 134-1                            ;PM*;136.6332553003408 -15.6688076262161;M0V                    ;   19.4286
26  ;2MASS J02132880+4444453            ;BD*;137.9146937522245 -15.7258736026167;L1.5                   ;   19.350 
27  ;EGGR 16                            ;WD*;139.1481276084323 -17.1943416071150;DA9.5                  ;   20.5341
28  ;HD 275122                          ;PM*;152.1598511695466 -16.1563738271803;M1.5V                  ;   15.9638
29  ;G 209-38                           ;PM*;078.6478407954219 -01.2318584971179;M3.5                   ;   16.358 
