1 ;* 61 Cyg B;Eruptive Variable      ;Rotating Variable,Eruptive Variable,High Proper Motion Star,Variable Star,High Proper Motion Star,Eruptive Variable,Double or Multiple Star,Star,Star,Infra-Red Source,X-ray Source                                                                      ;082.3171310715589 -05.8262372280102;K7V   ;3.4964
2 ;* 61 Cyg A;BY Dra Variable        ;Rotating Variable,BY Dra Variable,High Proper Motion Star,Variable Star,High Proper Motion Star,Eruptive Variable,Double or Multiple Star,Star,Star,Infra-Red Source,UV-emission Source,X-ray Source,X-ray Source                                        ;082.3197403091576 -05.8181041502094;K5V   ;3.4965
3 ;GAT 1383  ;High Proper Motion Star;High Proper Motion Star,High Proper Motion Star,High Proper Motion Star,Star,Infra-Red Source                                                                                                                                                            ;085.6450087237446 -07.3769487234860;M5.5V ;14.5094
4 ;BD+40 4631;High Proper Motion Star;High Proper Motion Star,High Proper Motion Star,Star,Star,Infra-Red Source                                                                                                                                                                               ;089.4905214280362 -08.8259946066449;K8V   ;19.837 
5 ;V* EV Lac ;Eruptive Variable      ;High Proper Motion Star,High Proper Motion Star,Eruptive Variable,High Proper Motion Star,Double or Multiple Star,Variable Star,High Proper Motion Star,Star,Star,Infra-Red Source,Radio Source,UV-emission Source,X-ray Source,X-ray Source,X-ray Source;100.6067176270883 -13.0693645782006;M4.0Ve;5.0515
6 ;G 216-43  ;High Proper Motion Star;High Proper Motion Star,High Proper Motion Star,Double or Multiple Star,Star,Infra-Red Source                                                                                                                                                            ;107.6831520259098 -14.9929080409418;M4.5  ;35.6304
7 ;BD+45 4378;Spectroscopic Binary   ;High Proper Motion Star,High Proper Motion Star,High Proper Motion Star,Spectroscopic Binary,Variable Star,High Proper Motion Star,Spectroscopic Binary,Double or Multiple Star,Star,Infra-Red Source                                                    ;113.6133003656408 -15.1866691700906;K7V   ;17.1213
8 ;LP 149-14 ;High Proper Motion Star;High Proper Motion Star,High Proper Motion Star,High Proper Motion Star,Star,Infra-Red Source                                                                                                                                                            ;114.0239531748840 -14.2146886796646;M5.0V ;19.189 
9 ;HD 38B    ;High Proper Motion Star;High Proper Motion Star,Double or Multiple Star,High Proper Motion Star,Star,Infra-Red Source                                                                                                                                                            ;114.6501340218375 -16.3243260935338;M0.5V ;11.518 
10;HD 38A    ;Spectroscopic Binary   ;High Proper Motion Star,Double or Multiple Star,Spectroscopic Binary,High Proper Motion Star,Star,Infra-Red Source                                                                                                                                       ;114.6505214717521 -16.3226459980874;K6V   ;11.5207
11;BD+44 4548;High Proper Motion Star;High Proper Motion Star,High Proper Motion Star,High Proper Motion Star,High Proper Motion Star,Double or Multiple Star,Star,Infra-Red Source,UV-emission Source,UV-emission Source                                                                      ;114.5559641502924 -16.3315501979801;M2Ve  ;11.5035
